TargetChr	TargetGene	TargetGeneTSS	expressed_proxy	geneFailedToRunThroughModel
chr1	PEX10	2344010	TRUE	FALSE
chr1	PLCH2	2407753	FALSE	FALSE
chr1	PANK4	2458067	TRUE	FALSE
chr1	HES5	2461684	FALSE	FALSE
chr1	LOC115110	2488450	FALSE	FALSE
chr1	TNFRSF14	2487803	TRUE	FALSE
chr1	LOC100996583	2497973	FALSE	FALSE
chr1	FAM213B	2518188	TRUE	FALSE
chr1	MMEL1	2564481	FALSE	FALSE
chr1	TTC34	2706230	FALSE	FALSE
chr1	ACTRT2	2938045	FALSE	FALSE
chr1	LINC00982	2984289	FALSE	FALSE
chr1	PRDM16	2985741	FALSE	FALSE
chr1	ARHGEF16	3371146	TRUE	FALSE
chr1	MEGF6	3528059	FALSE	FALSE
chr1	TPRG1L	3541555	TRUE	FALSE
chr1	WRAP73	3566671	TRUE	FALSE
chr1	TP73	3607235	TRUE	FALSE
chr1	TP73-AS1	3663937	TRUE	FALSE
chr1	CCDC27	3668964	FALSE	FALSE
chr1	SMIM1	3689324	TRUE	FALSE
chr1	LRRC47	3713068	TRUE	FALSE
chr1	CEP104	3773797	TRUE	FALSE
chr1	DFFB	3773830	TRUE	FALSE
chr1	C1orf174	3816857	TRUE	FALSE
chr1	LINC01134	3816967	FALSE	FALSE
chr1	LINC01346	4000671	FALSE	FALSE
chr1	LINC01777	4472110	FALSE	FALSE
chr1	AJAP1	4715104	FALSE	FALSE
chr1	NPHP4	6052533	TRUE	FALSE
chr1	KCNAB2	6086072	TRUE	FALSE
chr1	CHD5	6240194	FALSE	FALSE
chr1	RPL22	6259679	TRUE	FALSE
chr1	LOC102724450	6265840	TRUE	FALSE
chr1	RNF207	6266188	TRUE	FALSE
chr1	ICMT	6296044	TRUE	FALSE
chr1	LINC00337	6296299	FALSE	FALSE
chr1	HES3	6304251	FALSE	FALSE
chr1	GPR153	6321035	FALSE	FALSE
chr1	ACOT7	6419004	TRUE	FALSE
chr1	HES2	6479979	FALSE	FALSE
chr1	ESPN	6484847	TRUE	FALSE
chr1	TNFRSF25	6526255	FALSE	FALSE
chr1	PLEKHG5	6550640	FALSE	FALSE
chr1	NOL9	6614658	TRUE	FALSE
chr1	TAS1R1	6615337	FALSE	FALSE
chr1	ZBTB48	6640050	TRUE	FALSE
chr1	KLHL21	6662958	TRUE	FALSE
chr1	PHF13	6673755	TRUE	FALSE
chr1	THAP3	6685209	TRUE	FALSE
chr1	DNAJC11	6761966	TRUE	FALSE
chr1	LINC01672	6784804	FALSE	FALSE
chr1	CAMTA1	6845383	TRUE	FALSE
chr1	VAMP3	7831328	TRUE	FALSE
chr1	PER3	7844488	TRUE	FALSE
chr1	UTS2	7913104	FALSE	FALSE
chr1	TNFRSF9	8003225	FALSE	FALSE
chr1	PARK7	8021713	TRUE	FALSE
chr1	ERRFI1	8086393	TRUE	FALSE
chr1	LINC01714	8268731	FALSE	FALSE
chr1	SLC45A1	8378144	FALSE	FALSE
chr1	RERE	8877699	TRUE	FALSE
chr1	LOC102724552	8484704	FALSE	FALSE
chr1	ENO1	8931635	TRUE	FALSE
chr1	ENO1-AS1	8938893	TRUE	FALSE
chr1	CA6	9005892	FALSE	FALSE
chr1	SLC2A7	9086404	FALSE	FALSE
chr1	SLC2A5	9129887	FALSE	FALSE
chr1	GPR157	9189229	FALSE	FALSE
chr1	MIR34AHG	9242397	FALSE	FALSE
chr1	LINC01759	9242262	FALSE	FALSE
chr1	H6PD	9299902	TRUE	FALSE
chr1	SPSB1	9352940	FALSE	FALSE
chr1	LOC100506022	9489055	FALSE	FALSE
chr1	SLC25A33	9599527	TRUE	FALSE
chr1	TMEM201	9648931	TRUE	FALSE
chr1	PIK3CD	9711789	TRUE	FALSE
chr1	PIK3CD-AS1	9714644	FALSE	FALSE
chr1	PIK3CD-AS2	9747632	TRUE	FALSE
chr1	CLSTN1	9884584	TRUE	FALSE
chr1	CTNNBIP1	9970316	TRUE	FALSE
chr1	LZIC	10003485	TRUE	FALSE
chr1	NMNAT1	10003485	TRUE	FALSE
chr1	RBP7	10057254	FALSE	FALSE
chr1	UBE4B	10093040	TRUE	FALSE
chr1	KIF1B	10270763	TRUE	FALSE
chr1	PGD	10459048	TRUE	FALSE
chr1	APITD1-CORT	10490158	FALSE	FALSE
chr1	CENPS	10490158	TRUE	FALSE
chr1	CORT	10509775	FALSE	FALSE
chr1	DFFA	10532613	TRUE	FALSE
chr1	PEX14	10535002	TRUE	FALSE
chr1	CASZ1	10856733	FALSE	FALSE
chr1	C1orf127	11042094	FALSE	FALSE
chr1	TARDBP	11072678	TRUE	FALSE
chr1	MASP2	11107296	FALSE	FALSE
chr1	SRM	11120091	TRUE	FALSE
chr1	EXOSC10	11159967	TRUE	FALSE
chr1	LOC105376736	11159731	FALSE	FALSE
chr1	MTOR	11322608	TRUE	FALSE
chr1	MTOR-AS1	11203954	FALSE	FALSE
chr1	ANGPTL7	11249345	FALSE	FALSE
chr1	UBIAD1	11333254	TRUE	FALSE
chr1	DISP3	11539294	FALSE	FALSE
chr1	LINC01647	11669587	FALSE	FALSE
chr1	FBXO2	11714888	FALSE	FALSE
chr1	FBXO44	11714913	TRUE	FALSE
chr1	FBXO6	11724149	TRUE	FALSE
chr1	MAD2L2	11751678	TRUE	FALSE
chr1	DRAXIN	11751780	FALSE	FALSE
chr1	AGTRAP	11796141	TRUE	FALSE
chr1	C1orf167	11822249	FALSE	FALSE
chr1	LOC102724659	11839676	FALSE	FALSE
chr1	MTHFR	11866160	TRUE	FALSE
chr1	CLCN6	11866152	TRUE	FALSE
chr1	NPPA-AS1	11900375	TRUE	FALSE
chr1	NPPA	11907840	FALSE	FALSE
chr1	NPPB	11918992	FALSE	FALSE
chr1	KIAA2013	11986485	TRUE	FALSE
chr1	PLOD1	11994723	TRUE	FALSE
chr1	MFN2	12040237	TRUE	FALSE
chr1	MIIP	12079298	TRUE	FALSE
chr1	TNFRSF8	12123433	TRUE	FALSE
chr1	TNFRSF1B	12227059	TRUE	FALSE
chr1	VPS13D	12290095	TRUE	FALSE
chr1	DHRS3	12676788	TRUE	FALSE
chr1	AADACL4	12704565	FALSE	FALSE
chr1	AADACL3	12776117	FALSE	FALSE
chr1	C1orf158	12806133	FALSE	FALSE
chr1	PRAMEF12	12834990	FALSE	FALSE
chr1	PRAMEF1	12851545	FALSE	FALSE
chr1	PRAMEF11	12891264	FALSE	FALSE
chr1	HNRNPCL1	12908609	FALSE	FALSE
chr1	HNRNPCL3	12908235	FALSE	FALSE
chr1	HNRNPCL4	12908157	FALSE	FALSE
chr1	PRAMEF2	12916940	FALSE	FALSE
chr1	PRAMEF4	12946025	FALSE	FALSE
chr1	PRAMEF27	12998504	FALSE	TRUE
chr1	PRAMEF9	13002353	FALSE	TRUE
chr1	PRAMEF18	13035498	FALSE	TRUE
chr1	PRAMEF25	13112702	FALSE	TRUE
chr1	PRAMEF26	13112702	FALSE	TRUE
chr1	PRAMEF5	13369057	FALSE	TRUE
chr1	HNRNPCL2	13184326	FALSE	FALSE
chr1	PRAMEF6	13368936	FALSE	TRUE
chr1	PRAMEF33	13409134	FALSE	TRUE
chr1	PRAMEF17	13495257	FALSE	TRUE
chr1	PRAMEF20	13516065	FALSE	TRUE
chr1	PRAMEF19	13698405	FALSE	TRUE
chr1	LRRC38	13840242	FALSE	FALSE
chr1	PDPN	13911966	FALSE	FALSE
chr1	PRDM2	14031349	TRUE	FALSE
chr1	KAZN	14925212	FALSE	FALSE
chr1	TMEM51-AS1	15478960	FALSE	FALSE
chr1	TMEM51	15479027	FALSE	FALSE
chr1	C1orf195	15498120	FALSE	FALSE
chr1	FHAD1	15573767	FALSE	FALSE
chr1	EFHD2	15736390	TRUE	FALSE
chr1	CTRC	15764937	FALSE	FALSE
chr1	CELA2A	15783222	FALSE	FALSE
chr1	CELA2B	15802595	FALSE	FALSE
chr1	CASP9	15850940	TRUE	FALSE
chr1	DNAJC16	15853307	TRUE	FALSE
chr1	AGMAT	15911605	FALSE	FALSE
chr1	DDI2	15943952	TRUE	FALSE
chr1	RSC1A1	15986207	TRUE	FALSE
chr1	PLEKHM2	16010797	TRUE	FALSE
chr1	SLC25A34	16062808	FALSE	FALSE
chr1	TMEM82	16068986	FALSE	FALSE
chr1	FBLIM1	16090993	FALSE	FALSE
chr1	UQCRHL	16134194	TRUE	FALSE
chr1	FLJ37453	16174642	TRUE	FALSE
chr1	SPEN	16174358	TRUE	FALSE
chr1	ZBTB17	16302627	TRUE	FALSE
chr1	C1orf64	16330730	FALSE	FALSE
chr1	HSPB7	16345285	FALSE	FALSE
chr1	CLCNKA	16348485	FALSE	FALSE
chr1	CLCNKB	16375256	FALSE	FALSE
chr1	FAM131C	16400127	FALSE	FALSE
chr1	EPHA2	16482604	FALSE	FALSE
chr1	ARHGEF19	16539166	TRUE	FALSE
chr1	RSG1	16563659	TRUE	FALSE
chr1	FBXO42	16678986	TRUE	FALSE
chr1	SZRD1	16693524	TRUE	FALSE
chr1	SPATA21	16763919	FALSE	FALSE
chr1	NECAP2	16767166	TRUE	FALSE
chr1	CROCCP3	16819196	TRUE	FALSE
chr1	LOC440570	16860336	FALSE	FALSE
chr1	LINC01783	16862147	FALSE	FALSE
chr1	FAM231B	16865218	FALSE	FALSE
chr1	NBPF1	16940100	TRUE	FALSE
chr1	CROCCP2	16957401	TRUE	FALSE
chr1	MST1P2	16972068	FALSE	FALSE
chr1	FAM231A	17060956	FALSE	TRUE
chr1	ESPNP	17046652	FALSE	FALSE
chr1	FAM231C	17060956	FALSE	TRUE
chr1	MST1L	17090975	FALSE	TRUE
chr1	LOC102724562	17086552	FALSE	TRUE
chr1	LOC105376805	17216161	FALSE	FALSE
chr1	CROCC	17248444	TRUE	FALSE
chr1	MFAP2	17308081	FALSE	FALSE
chr1	ATP13A2	17338467	TRUE	FALSE
chr1	SDHB	17380665	TRUE	FALSE
chr1	PADI2	17445948	FALSE	FALSE
chr1	PADI1	17531620	FALSE	FALSE
chr1	PADI3	17575592	FALSE	FALSE
chr1	PADI4	17634689	FALSE	FALSE
chr1	PADI6	17698690	FALSE	FALSE
chr1	RCC2	17766250	TRUE	FALSE
chr1	ARHGEF10L	17866329	FALSE	FALSE
chr1	ACTL8	18081807	FALSE	FALSE
chr1	LINC01654	18392150	FALSE	FALSE
chr1	IGSF21	18434239	FALSE	FALSE
chr1	KLHDC7A	18807423	FALSE	FALSE
chr1	PAX7	18957499	FALSE	FALSE
chr1	TAS1R2	19186155	FALSE	FALSE
chr1	ALDH4A1	19229293	TRUE	FALSE
chr1	IFFO2	19282826	FALSE	FALSE
chr1	UBR4	19536746	TRUE	FALSE
chr1	LOC101927895	19536879	TRUE	FALSE
chr1	EMC1	19578053	TRUE	FALSE
chr1	MRTO4	19578074	TRUE	FALSE
chr1	AKR7L	19600616	FALSE	FALSE
chr1	AKR7A3	19615280	FALSE	FALSE
chr1	LOC100506730	19622230	TRUE	FALSE
chr1	AKR7A2	19638640	TRUE	FALSE
chr1	PQLC2	19638739	TRUE	FALSE
chr1	CAPZB	19812135	TRUE	FALSE
chr1	LOC105378614	19923326	FALSE	FALSE
chr1	MINOS1	19923470	TRUE	FALSE
chr1	MINOS1-NBL1	19923470	FALSE	FALSE
chr1	RPS14P3	19934300	FALSE	FALSE
chr1	NBL1	19969722	FALSE	FALSE
chr1	HTR6	19991779	FALSE	FALSE
chr1	TMCO4	20126514	FALSE	FALSE
chr1	RNF186	20141771	FALSE	FALSE
chr1	OTUD3	20208887	TRUE	FALSE
chr1	PLA2G2E	20250110	FALSE	FALSE
chr1	PLA2G2A	20306932	FALSE	FALSE
chr1	PLA2G5	20396700	FALSE	FALSE
chr1	PLA2G2D	20446059	FALSE	FALSE
chr1	PLA2G2F	20465822	FALSE	FALSE
chr1	PLA2G2C	20503857	FALSE	FALSE
chr1	UBXN10-AS1	20512979	TRUE	FALSE
chr1	UBXN10	20512570	TRUE	FALSE
chr1	VWA5B1	20617411	FALSE	FALSE
chr1	LINC01141	20755287	FALSE	FALSE
chr1	CAMK2N1	20812728	TRUE	FALSE
chr1	MUL1	20834674	TRUE	FALSE
chr1	FAM43B	20878931	FALSE	FALSE
chr1	CDA	20915443	FALSE	FALSE
chr1	PINK1	20959947	TRUE	FALSE
chr1	PINK1-AS	20978686	TRUE	FALSE
chr1	DDOST	20988037	TRUE	FALSE
chr1	KIF17	21044510	FALSE	FALSE
chr1	SH2D5	21059133	FALSE	FALSE
chr1	HP1BP3	21113181	TRUE	FALSE
chr1	EIF4G3	21503381	TRUE	FALSE
chr1	ECE1	21672034	TRUE	FALSE
chr1	LOC100506801	21619782	FALSE	FALSE
chr1	NBPF3	21766582	TRUE	FALSE
chr1	ALPL	21835850	FALSE	FALSE
chr1	RAP1GAP	21995856	TRUE	FALSE
chr1	USP48	22109688	TRUE	FALSE
chr1	LDLRAD2	22138757	FALSE	FALSE
chr1	HSPG2	22263790	TRUE	FALSE
chr1	CELA3B	22303386	FALSE	FALSE
chr1	CELA3A	22328148	FALSE	FALSE
chr1	LINC01635	22352541	FALSE	FALSE
chr1	LINC00339	22351996	TRUE	FALSE
chr1	CDC42	22379119	TRUE	FALSE
chr1	WNT4	22469519	FALSE	FALSE
chr1	ZBTB40	22778343	TRUE	FALSE
chr1	EPHA8	22889994	FALSE	FALSE
chr1	C1QA	22962998	FALSE	FALSE
chr1	C1QC	22970109	FALSE	FALSE
chr1	C1QB	22979473	FALSE	FALSE
chr1	EPHB2	23037330	FALSE	FALSE
chr1	LACTBL1	23291923	FALSE	FALSE
chr1	C1orf234	23342343	FALSE	FALSE
chr1	KDM1A	23345940	TRUE	FALSE
chr1	LUZP1	23495351	TRUE	FALSE
chr1	HTR1D	23521222	FALSE	FALSE
chr1	LINC01355	23612011	TRUE	FALSE
chr1	HNRNPR	23670857	TRUE	FALSE
chr1	ZNF436	23696357	TRUE	FALSE
chr1	ZNF436-AS1	23695710	TRUE	FALSE
chr1	TCEA3	23751272	FALSE	FALSE
chr1	ASAP3	23810750	TRUE	FALSE
chr1	E2F2	23857712	TRUE	FALSE
chr1	LOC101928163	23848421	FALSE	FALSE
chr1	ID3	23886285	TRUE	FALSE
chr1	MDS2	23953823	FALSE	FALSE
chr1	RPL11	24018268	TRUE	FALSE
chr1	ELOA	24069855	TRUE	FALSE
chr1	ELOA-AS1	24104787	TRUE	FALSE
chr1	PITHD1	24104875	TRUE	FALSE
chr1	LYPLA2	24117645	TRUE	FALSE
chr1	GALE	24126060	TRUE	FALSE
chr1	HMGCL	24151949	TRUE	FALSE
chr1	FUCA1	24194859	TRUE	FALSE
chr1	CNR2	24239817	FALSE	FALSE
chr1	PNRC2	24286300	TRUE	TRUE
chr1	SRSF10	24306953	TRUE	TRUE
chr1	MYOM3	24438665	FALSE	FALSE
chr1	IL22RA1	24469775	FALSE	FALSE
chr1	IFNLR1	24513765	FALSE	FALSE
chr1	LOC284632	24526729	FALSE	FALSE
chr1	GRHL3	24645811	FALSE	FALSE
chr1	STPG1	24740262	TRUE	FALSE
chr1	NIPAL3	24742239	TRUE	FALSE
chr1	RCAN3AS	24828872	FALSE	FALSE
chr1	RCAN3	24829386	FALSE	FALSE
chr1	LOC100506985	24882515	FALSE	FALSE
chr1	NCMAP	24882566	FALSE	FALSE
chr1	SRRM1	24969593	TRUE	FALSE
chr1	CLIC4	25071759	TRUE	FALSE
chr1	RUNX3	25291501	FALSE	FALSE
chr1	SYF2	25559013	TRUE	FALSE
chr1	RSRP1	25574010	TRUE	FALSE
chr1	RHD	25598976	TRUE	FALSE
chr1	TMEM50A	25664788	TRUE	FALSE
chr1	RHCE	25747363	TRUE	FALSE
chr1	TMEM57	25757348	TRUE	FALSE
chr1	LDLRAP1	25870075	TRUE	FALSE
chr1	MAN1C1	25943958	FALSE	FALSE
chr1	SELENON	26126666	TRUE	FALSE
chr1	MTFR1L	26146396	TRUE	FALSE
chr1	LOC646471	26150097	FALSE	FALSE
chr1	AUNIP	26185949	TRUE	FALSE
chr1	PAQR7	26197744	TRUE	FALSE
chr1	STMN1	26232993	TRUE	FALSE
chr1	PAFAH2	26324648	TRUE	FALSE
chr1	EXTL1	26348270	FALSE	FALSE
chr1	SLC30A2	26372629	FALSE	FALSE
chr1	TRIM63	26394125	FALSE	FALSE
chr1	PDIK1L	26438267	TRUE	FALSE
chr1	FAM110D	26485510	FALSE	FALSE
chr1	ZNF593	26496387	TRUE	FALSE
chr1	CNKSR1	26503980	FALSE	FALSE
chr1	CATSPER4	26517118	FALSE	FALSE
chr1	LOC101928303	26551810	FALSE	FALSE
chr1	CEP85	26560643	TRUE	FALSE
chr1	SH3BGRL3	26606212	TRUE	FALSE
chr1	UBXN11	26633195	TRUE	FALSE
chr1	CD52	26644410	TRUE	FALSE
chr1	AIM1L	26680621	FALSE	FALSE
chr1	ZNF683	26699285	FALSE	FALSE
chr1	LIN28A	26737258	FALSE	FALSE
chr1	DHDDS	26758772	TRUE	FALSE
chr1	LOC101928324	26794028	FALSE	FALSE
chr1	HMGN2	26798901	TRUE	FALSE
chr1	RPS6KA1	26856248	TRUE	FALSE
chr1	LOC101928728	27020622	FALSE	FALSE
chr1	ARID1A	27022521	TRUE	FALSE
chr1	PIGV	27114453	TRUE	FALSE
chr1	ZDHHC18	27153200	TRUE	FALSE
chr1	SFN	27189632	FALSE	FALSE
chr1	GPN2	27216869	TRUE	FALSE
chr1	GPATCH3	27226962	TRUE	FALSE
chr1	NR0B2	27240567	FALSE	FALSE
chr1	NUDC	27248212	TRUE	FALSE
chr1	KDF1	27286901	TRUE	FALSE
chr1	TRNP1	27320194	FALSE	FALSE
chr1	FAM46B	27339333	FALSE	FALSE
chr1	SLC9A1	27481621	TRUE	FALSE
chr1	WDTC1	27561006	TRUE	FALSE
chr1	TMEM222	27648635	TRUE	FALSE
chr1	ACTG1P20	27650364	FALSE	FALSE
chr1	SYTL1	27668482	TRUE	FALSE
chr1	MAP3K6	27693357	TRUE	FALSE
chr1	FCN3	27701343	FALSE	FALSE
chr1	CD164L2	27709823	FALSE	FALSE
chr1	GPR3	27719147	TRUE	FALSE
chr1	WASF2	27816698	TRUE	FALSE
chr1	AHDC1	27930005	TRUE	FALSE
chr1	FGR	27952751	FALSE	FALSE
chr1	IFI6	27998724	TRUE	FALSE
chr1	FAM76A	28052489	TRUE	FALSE
chr1	STX12	28099693	TRUE	FALSE
chr1	PPP1R8	28157324	TRUE	FALSE
chr1	THEMIS2	28199053	TRUE	FALSE
chr1	RPA2	28241308	TRUE	FALSE
chr1	SMPDL3B	28261465	TRUE	FALSE
chr1	XKR8	28285972	FALSE	FALSE
chr1	EYA3	28415148	TRUE	FALSE
chr1	PTAFR	28503455	FALSE	FALSE
chr1	DNAJC8	28559542	TRUE	FALSE
chr1	ATPIF1	28562601	TRUE	FALSE
chr1	SESN2	28585962	TRUE	FALSE
chr1	MED18	28655512	TRUE	FALSE
chr1	PHACTR4	28764660	TRUE	FALSE
chr1	SNHG3	28832454	TRUE	FALSE
chr1	RCC1	28844744	TRUE	FALSE
chr1	TRNAU1AP	28879528	TRUE	FALSE
chr1	SNHG12	28908366	TRUE	FALSE
chr1	RAB42	28919006	FALSE	FALSE
chr1	TAF12	28969604	TRUE	FALSE
chr1	GMEB1	28995239	TRUE	FALSE
chr1	YTHDF2	29063132	TRUE	FALSE
chr1	OPRD1	29138653	FALSE	FALSE
chr1	EPB41	29213602	TRUE	FALSE
chr1	TMEM200B	29449013	FALSE	FALSE
chr1	SRSF4	29508637	TRUE	FALSE
chr1	MECR	29557470	TRUE	FALSE
chr1	PTPRU	29563027	TRUE	FALSE
chr1	LINC01756	29676626	FALSE	FALSE
chr1	LINC01648	30510459	FALSE	FALSE
chr1	MATN1	31196432	FALSE	FALSE
chr1	MATN1-AS1	31191618	TRUE	FALSE
chr1	LAPTM5	31230683	TRUE	FALSE
chr1	SDC3	31381480	TRUE	FALSE
chr1	PUM1	31538564	TRUE	FALSE
chr1	NKAIN1	31712734	FALSE	FALSE
chr1	SNRNP40	31769644	TRUE	FALSE
chr1	ZCCHC17	31769828	TRUE	FALSE
chr1	FABP3	31846135	FALSE	FALSE
chr1	SERINC2	31886659	TRUE	FALSE
chr1	LINC01225	31971838	FALSE	FALSE
chr1	LINC01226	31984035	FALSE	FALSE
chr1	TINAGL1	32042085	TRUE	FALSE
chr1	HCRTR1	32083300	FALSE	FALSE
chr1	PEF1	32110838	TRUE	FALSE
chr1	COL16A1	32169768	FALSE	FALSE
chr1	ADGRB2	32229664	FALSE	FALSE
chr1	SPOCD1	32281652	FALSE	FALSE
chr1	PTP4A2	32385259	TRUE	FALSE
chr1	KHDRBS1	32479294	TRUE	FALSE
chr1	TMEM39B	32538499	TRUE	FALSE
chr1	KPNA6	32573643	TRUE	FALSE
chr1	TXLNA	32645344	TRUE	FALSE
chr1	CCDC28B	32665986	TRUE	FALSE
chr1	IQCC	32671235	TRUE	FALSE
chr1	DCDC2B	32674694	FALSE	FALSE
chr1	TMEM234	32687972	TRUE	FALSE
chr1	EIF3I	32687184	TRUE	FALSE
chr1	MTMR9LP	32707311	FALSE	FALSE
chr1	FAM167B	32712817	FALSE	FALSE
chr1	LCK	32716839	FALSE	FALSE
chr1	HDAC1	32757707	TRUE	FALSE
chr1	MARCKSL1	32801840	TRUE	FALSE
chr1	FAM229A	32827844	TRUE	FALSE
chr1	TSSK3	32827861	FALSE	FALSE
chr1	BSDC1	32860062	TRUE	FALSE
chr1	ZBTB8B	32930657	FALSE	FALSE
chr1	ZBTB8A	33004745	FALSE	FALSE
chr1	ZBTB8OS	33116191	TRUE	FALSE
chr1	RBBP4	33116748	TRUE	FALSE
chr1	SYNC	33168361	FALSE	FALSE
chr1	KIAA1522	33231234	TRUE	FALSE
chr1	YARS	33283633	TRUE	FALSE
chr1	S100PBP	33290913	TRUE	FALSE
chr1	FNDC5	33336414	FALSE	FALSE
chr1	HPCA	33352097	FALSE	FALSE
chr1	TMEM54	33367041	TRUE	FALSE
chr1	RNF19B	33430414	TRUE	FALSE
chr1	AK2	33502512	TRUE	FALSE
chr1	AZIN2	33547778	FALSE	FALSE
chr1	TRIM62	33647671	TRUE	FALSE
chr1	ZNF362	33722173	FALSE	FALSE
chr1	A3GALT2	33786699	FALSE	FALSE
chr1	PHC2	33841194	TRUE	FALSE
chr1	LOC101929464	33815952	TRUE	FALSE
chr1	ZSCAN20	33938231	TRUE	FALSE
chr1	CSMD2	34631443	FALSE	FALSE
chr1	HMGB4	34326075	FALSE	FALSE
chr1	CSMD2-AS1	34334556	FALSE	FALSE
chr1	C1orf94	34642552	FALSE	FALSE
chr1	GJB5	35220647	FALSE	FALSE
chr1	GJB4	35225341	FALSE	FALSE
chr1	GJB3	35246789	FALSE	FALSE
chr1	GJA4	35258598	FALSE	FALSE
chr1	SMIM12	35325417	TRUE	FALSE
chr1	DLGAP3	35395186	FALSE	FALSE
chr1	LOC653160	35444307	TRUE	FALSE
chr1	TMEM35B	35450948	TRUE	FALSE
chr1	ZMYM6	35497569	TRUE	FALSE
chr1	ZMYM1	35544963	TRUE	FALSE
chr1	SFPQ	35658746	TRUE	FALSE
chr1	ZMYM4	35734567	TRUE	FALSE
chr1	KIAA0319L	36023037	TRUE	FALSE
chr1	NCDN	36023392	TRUE	FALSE
chr1	TFAP2E	36038970	FALSE	FALSE
chr1	PSMB2	36107152	TRUE	FALSE
chr1	C1orf216	36182512	TRUE	FALSE
chr1	CLSPN	36235551	TRUE	FALSE
chr1	AGO4	36273827	TRUE	FALSE
chr1	AGO1	36348795	TRUE	FALSE
chr1	AGO3	36396682	TRUE	FALSE
chr1	TEKT2	36549675	FALSE	FALSE
chr1	ADPRHL2	36554452	TRUE	FALSE
chr1	COL8A2	36590685	FALSE	FALSE
chr1	TRAPPC3	36615115	TRUE	FALSE
chr1	MAP7D1	36621565	TRUE	FALSE
chr1	THRAP3	36690012	TRUE	FALSE
chr1	SH3D21	36771993	TRUE	FALSE
chr1	EVA1B	36789249	TRUE	FALSE
chr1	STK40	36851528	TRUE	FALSE
chr1	LSM10	36863560	TRUE	FALSE
chr1	OSCP1	36916086	FALSE	FALSE
chr1	MRPS15	36930040	TRUE	FALSE
chr1	CSF3R	36948915	TRUE	FALSE
